File: preferred_parcels_additional.gpkg
Rows: 0
Columns: 7
SHA-256 (saved bytes): c73dd57e7f0b801388f0f692522eb0be8f5a013131fda5f7422a0f3237a8412f
Key: target_year, object_id
Types: SQLite attributes read through pandas; geometry excluded.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

        column inferred_type non_missing distinct min max mean sd
           fid       INTEGER           0        0   -   -    -  -
   target_year       INTEGER           0        0   -   -    -  -
      layer_id       INTEGER           0        0   -   -    -  -
     object_id       INTEGER           0        0   -   -    -  -
         pin14       INTEGER           0        0   -   -    -  -
         pin10       INTEGER           0        0   -   -    -  -
geometry_valid       INTEGER           0        0   -   -    -  -
