File: multicard_final_review_bundle.csv
Rows: 273
Columns: 128
SHA-256 (saved bytes): 3c423d31cbe1028f4d09be03723da9e3ff87f7c30033686f67455b398f6bdc6e
Key: project_id
Types: DuckDB inference from the complete saved CSV.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

                                      column inferred_type non_missing distinct                 min                max                mean                  sd
                                  project_id       VARCHAR         273      273                   -                  -                   -                   -
                           construction_year        BIGINT         273       17                2006               2022  2012.5934065934066   5.673036111299119
                                within_500ft       BOOLEAN         273        2                   -                  -                   -                   -
                               within_1500ft       BOOLEAN         273        1                   -                  -                   -                   -
                     distance_to_boundary_ft        DOUBLE         273      273   49.22455487329204  1473.294112609551   616.3159100554707  377.24309311512053
                                   ward_pair       VARCHAR         273       63                   -                  -                   -                   -
                              dwelling_units        BIGINT         273        5                   1                  6  1.3919413919413919  1.0308874515333557
                               building_sqft        BIGINT         273      246                 315              12406   2828.974358974359   1483.701854886305
                                   land_sqft        BIGINT         272      203                1936             307739             12007.5   28669.05210381684
                                 density_far        DOUBLE         272      272 0.00759006168842234  2.578706727629001   0.575537753358223  0.4682901486028192
                               density_dupac        DOUBLE         272      210 0.14154852001208815  93.14326443335707  11.913671381815291  11.749013180879103
                              component_pins        BIGINT         273      273      11303200330000     25221030430000  15992532936102.572   2796670320508.738
                          source_project_ids       VARCHAR         273      273                   -                  -                   -                   -
                                         pin        BIGINT         273      273      11303200330000     25221030430000  15992532936102.572   2796670320508.738
                           permit_project_id       VARCHAR         273      273                   -                  -                   -                   -
                         geometry_project_id       VARCHAR         273      273                   -                  -                   -                   -
                                target_cards        BIGINT         273       23                   1                 43    3.73992673992674   5.522858514490827
                         target_card_numbers       VARCHAR         273       28                   -                  -                   -                   -
                              target_classes       VARCHAR         273       14                   -                  -                   -                   -
                      target_card_signatures        BIGINT         273        9                   1                 12  1.5238095238095237   1.328554109703088
                identical_target_card_fields       BOOLEAN         273        2                   -                  -                   -                   -
                           summed_card_units        BIGINT         273       24                   1                 43   4.468864468864469   5.846059931315652
                   summed_card_building_sqft        BIGINT         273      260                 315              83226   8407.021978021978  10241.345276527125
                   distinct_card_unit_values        BIGINT         273        5                   1                  6  1.3663003663003663  0.9914523722838219
               distinct_card_building_values       VARCHAR         273      256                   -                  -                   -                   -
              all_target_card_units_observed       BOOLEAN         273        1                   -                  -                   -                   -
      all_target_card_building_sqft_observed       BOOLEAN         273        1                   -                  -                   -                   -
                          history_first_year        BIGINT         273       20                1999               2023  2005.3663003663003   7.503766202266225
                           history_last_year        BIGINT         273       20                2007               2026  2019.4029304029305   7.160881696780324
                        history_card_numbers        BIGINT         273       22                   2                 43   4.172161172161172   5.332650684872318
                    maximum_concurrent_cards        BIGINT         273       22                   2                 43   4.142857142857143   5.341096415940246
                   years_with_multiple_cards        BIGINT         273       25                   1                 28   6.970695970695971  7.0741257950254175
  card_numbers_with_multiple_building_values        BIGINT         273        5                   0                 10  0.6117216117216118  0.8463643936986729
card_numbers_with_multiple_year_built_values        BIGINT         273        4                   0                  3  0.5238095238095238   0.630403809938863
                 inventory_observation_years       VARCHAR         271       74                   -                  -                   -                   -
                inventory_same_year_observed       BOOLEAN         273        2                   -                  -                   -                   -
                               permit_chains        BIGINT         273       11                   0                 17  0.9963369963369964  1.8119257071880415
                     exact_pin_permit_chains        BIGINT         273        9                   0                 12    0.73992673992674  1.2134885275015728
                  polygon_only_permit_chains        BIGINT         273        6                   0                 17  0.2564102564102564  1.4803259801616244
                   distinct_permit_addresses        BIGINT         153       10                   1                 17  1.7254901960784315  1.9941865975275512
         exact_pin_distinct_permit_addresses        BIGINT         153        9                   0                 12  1.2941176470588236   1.356671395564083
                            permit_addresses       VARCHAR         153      152                   -                  -                   -                   -
                  exact_pin_permit_addresses       VARCHAR         127      127                   -                  -                   -                   -
                          permit_unit_values        BIGINT          31        7                   1                  9  3.6774193548387095   2.039396916969876
                exact_pin_permit_unit_values        BIGINT          27        7                   1                  9  3.7037037037037037   2.108860698883036
                    permit_chains_with_units        BIGINT         273        6                   0                  7 0.18681318681318682  0.6737530079397205
          exact_pin_permit_chains_with_units        BIGINT         273        6                   0                  7  0.1684981684981685  0.6593476172153165
                all_permit_chains_have_units       BOOLEAN         153        2                   -                  -                   -                   -
      all_exact_pin_permit_chains_have_units       BOOLEAN         153        2                   -                  -                   -                   -
                   summed_permit_chain_units        BIGINT          28        9                   1                 24   5.464285714285714  4.5336776246478765
